force_id	name_zh	name_en	ability_zh	ability_en
force_e	恶之 Force "独眼巨人"	Force of Evil "Cyclops"	【常时】自己的所有 Minion BP+200。	[CONTINUOUS] All of your Minions get +200 BP.
force_kon	混之 Force "奇美拉"	Force of Chaos "Chimera"	【自己的回合】自己的无色 Mana 在支付 Field Minion 费用时视为所有颜色。	[YOUR TURN] Your colorless Mana counts as every color when paying the cost of a Field Minion.
force_kai	凯之 Force "弥诺陶洛斯"	Force of Triumph "Minotaur"	【常时】对手 Minion 对自己玩家造成的伤害 -1。	[CONTINUOUS] Damage dealt to you by opposing Minions is reduced by 1.
force_so	双之 Force "双头犬"	Force of Twins "Orthrus"	【常时】自己的所有费用 5 以上 Minion DP+1。	[CONTINUOUS] All of your Minions with cost 5 or more get +1 DP.
force_sei	圣之 Force "斯芬克斯"	Holy Force "Sphinx"	【对手的回合】自己的费用 5 以下 Minion 不会被对手 Minion 的效果选择。	[OPPONENT'S TURN] Your Minions with cost 5 or less cannot be selected by opposing Minion effects.
force_chi	知之 Force "凯隆"	Force of Wisdom "Chiron"	【常时】自己手牌中 Magic 卡的无色费用 -2。	[CONTINUOUS] Magic cards in your hand cost 2 less colorless Mana.
force_li	丽之 Force "塞壬"	Force of Beauty "Siren"	【自己的回合】每当自己的 Minion Mana 移动到 Field 时，将 1 个无色 Mana 以疲劳状态放置到 Base。	[YOUR TURN] Whenever one of your Minion Mana moves to the Field, place one rested colorless Mana in your Base.
force_sho	翔之 Force "飞马"	Force of Flight "Pegasus"	【自己的回合开始时】若自己的 Mana 为 4 个以上，本回合移动权 +1。	[START OF YOUR TURN] If you have 4 or more Mana, gain 1 additional movement for this turn.
force_so2	苏之 Force "凤凰"	Force of Revival "Phoenix"	【自己的回合结束时】将自己的所有 Mana 变为激活状态。	[END OF YOUR TURN] Activate all of your Mana.
force_rin	轮之 Force "衔尾蛇"	Ouroboros - Force of Eternity	【自己的回合结束时】将自己的所有非 Token Minion 变为激活状态。	[END OF YOUR TURN] Activate all of your non-token Minions.
